dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
10x_human_lymph_node_A1,13,0.28002169862603316,0.39325137101296864,0.38924572050386536,0.4292372043230334,0.3932513710129686,0.16185734
10x_human_lymph_node_A1,2560,0.2834781442239268,0.38957275845812767,0.38560166501172394,0.42064778473320474,0.3895727584581276,0.16074096
10x_human_lymph_node_A1,641,0.268437703827812,0.3764999021912717,0.37233394865780883,0.39404716240956555,0.3764999021912718,0.16504984
10x_human_lymph_node_A1,1892,0.2650155481546402,0.37240101717977575,0.3682013084818657,0.38938588951794284,0.3724010171797757,0.17019734
10x_human_lymph_node_A1,1173,0.2793171794920955,0.3845019800555618,0.38043763836983346,0.41977843063325343,0.38450198005556185,0.16371763
10x_human_lymph_node_A1,69,0.28846164787053513,0.3869493293917008,0.3828823134474963,0.42061897938188175,0.38694932939170085,0.16263814
10x_human_lymph_node_A1,2024,0.2803518951280775,0.38790249247868247,0.383865542181663,0.4228342146426665,0.38790249247868247,0.16948166
10x_human_lymph_node_A1,231,0.2533880872642012,0.3646890203326492,0.3604120338928998,0.3788515102268338,0.36468902033264916,0.17208311
10x_human_lymph_node_A1,1971,0.2754529625663268,0.37360075377460095,0.3693878100729618,0.3886188670323547,0.373600753774601,0.16671732
10x_human_lymph_node_A1,2497,0.2678879480048981,0.3818607742246391,0.37777416822506044,0.4168218028575977,0.38186077422463915,0.17121716
10x_human_lymph_node_A1,338,0.28667340434250344,0.3909296455773834,0.38689664286809233,0.4263723658527103,0.3909296455773834,0.16035712
10x_human_lymph_node_A1,3127,0.27140089495130393,0.3729947860540826,0.36879347760063325,0.38908306532806125,0.3729947860540826,0.16870187
10x_human_lymph_node_A1,2001,0.2710377871373412,0.38765595637752565,0.38362036314231734,0.4240585264020011,0.38765595637752565,0.16300663
10x_human_lymph_node_A1,2022,0.2726683777005154,0.3796893197840256,0.3755290741560605,0.39702235535113356,0.37968931978402565,0.15956748
10x_human_lymph_node_A1,574,0.27263811541554195,0.37848119117844137,0.3743237753077424,0.3954062907351052,0.37848119117844137,0.16569766
10x_human_lymph_node_A1,2428,0.2757060894470291,0.38737681741556884,0.3833287907982678,0.4233506270453588,0.3873768174155688,0.15830025
10x_human_lymph_node_A1,999,0.2697590341337156,0.3747288201915484,0.3705276543679005,0.39027942057959486,0.37472882019154846,0.1698128
