dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
Mouse_Brain_E15_S1,1173,0.5845250584345646,0.5985485950812516,0.5923849907341223,0.608724438797199,0.5985485950812515,0.21155387
Mouse_Brain_E15_S1,69,0.5600829921686821,0.5745862777371665,0.5679825662724836,0.5784523039467887,0.5745862777371665,0.21343663
Mouse_Brain_E15_S1,2024,0.5800137473808502,0.5959296621302224,0.5897720715668338,0.6106075989730385,0.5959296621302225,0.20216855
Mouse_Brain_E15_S1,231,0.5613715236944026,0.6019073671768719,0.5957045214893002,0.604678923111768,0.6019073671768718,0.21336542
Mouse_Brain_E15_S1,1971,0.5696099604520288,0.58864003822471,0.582344864889849,0.6004144686764338,0.58864003822471,0.21133956
Mouse_Brain_E15_S1,2497,0.5657385114220317,0.5814390172786332,0.575028961721013,0.592969108052813,0.5814390172786332,0.20853226
Mouse_Brain_E15_S1,338,0.5809453158395831,0.5963667776919236,0.590115943381448,0.6020328730826333,0.5963667776919237,0.20583619
Mouse_Brain_E15_S1,3127,0.5496734211741939,0.5648413971964366,0.5580814187067898,0.5672782976424078,0.5648413971964364,0.20264931
Mouse_Brain_E15_S1,2001,0.5799580704866055,0.6169229156396976,0.6108680099874404,0.6117975839443928,0.6169229156396977,0.21506028
Mouse_Brain_E15_S1,2022,0.5629272464556452,0.6067705735364635,0.6006253713729509,0.6082046459506995,0.6067705735364635,0.21508692
Mouse_Brain_E15_S1,574,0.5801154021685102,0.585340621302424,0.5789691535771209,0.5941794988681489,0.585340621302424,0.20581308
Mouse_Brain_E15_S1,2428,0.5723807049602797,0.594941860345636,0.5887205150018997,0.6052381186112642,0.5949418603456361,0.2043202
Mouse_Brain_E15_S1,999,0.5935444413271965,0.6072292266888685,0.6012046455320608,0.6181053190680413,0.6072292266888684,0.21562561
Mouse_Brain_E15_S1,1187,0.5713575429983416,0.611631100906969,0.6055088024241848,0.609315600326157,0.6116311009069689,0.2184584
Mouse_Brain_E15_S1,42,0.5917815876472402,0.597588875120244,0.591357984028568,0.603107416448756,0.5975888751202442,0.20530717
Mouse_Brain_E15_S1,3999,0.5628674695393875,0.5876384032824991,0.5812944567051458,0.5970980597173248,0.587638403282499,0.2163198
Mouse_Brain_E18_S1,13,0.37530231704323724,0.557083709680292,0.5491085354597899,0.597911447799107,0.557083709680292,0.16747905
Mouse_Brain_E18_S1,2560,0.4499108169944904,0.5780711005171315,0.5704159542065396,0.6192164964494371,0.5780711005171315,0.16147919
Mouse_Brain_E18_S1,641,0.40118676515333096,0.5885406578626473,0.5811296539642093,0.6359995987089048,0.5885406578626474,0.16337842
Mouse_Brain_E18_S1,1892,0.4433705504482463,0.5886700628702406,0.5812480351549048,0.6350562749090521,0.5886700628702407,0.16576108
Mouse_Brain_E18_S1,1173,0.3829343882953239,0.5823166279816051,0.5748221621959343,0.6318324754005074,0.5823166279816051,0.16931435
Mouse_Brain_E18_S1,69,0.4479922537965632,0.5730329069684151,0.5652855939704312,0.6140628206823465,0.5730329069684151,0.1681802
Mouse_Brain_E18_S1,2024,0.4363429964902371,0.5865765773496032,0.5791168588900821,0.6332099616713427,0.5865765773496031,0.17197432
Mouse_Brain_E18_S1,231,0.47944193045139943,0.5966843568599098,0.589244833579406,0.6278124437068028,0.5966843568599098,0.17203303
Mouse_Brain_E18_S1,1971,0.3604570028998879,0.56342579541386,0.5556325100625715,0.6152341334631173,0.5634257954138601,0.17012575
Mouse_Brain_E18_S1,2497,0.4192059171525753,0.5881830257101092,0.5807663891413721,0.6355206408817993,0.5881830257101092,0.17098415
Mouse_Brain_E18_S1,338,0.4508287842851642,0.5924967337598854,0.5850823441557164,0.6332932416402443,0.5924967337598854,0.16711237
Mouse_Brain_E18_S1,3127,0.4389625931986977,0.5872891058276585,0.5798194506152103,0.6314219765258262,0.5872891058276584,0.16415474
Mouse_Brain_E18_S1,2001,0.35527210356809064,0.5576036930343741,0.5496427709103471,0.5999484133350067,0.5576036930343741,0.16762166
Mouse_Brain_E18_S1,2022,0.40022676582494887,0.5810884453317102,0.5735737472407006,0.631223763803638,0.5810884453317102,0.16343118
Mouse_Brain_E18_S1,574,0.47533254812294495,0.6019286401440956,0.5946486351867114,0.6377456636152157,0.6019286401440956,0.17306767
Mouse_Brain_E18_S1,2428,0.37000561456339276,0.5680557979593434,0.5603128305371652,0.6168899437406643,0.5680557979593434,0.15908414
Mouse_Brain_E18_S1,999,0.3235196354982507,0.5457333621074987,0.5376217405089948,0.5957957178654764,0.5457333621074987,0.16151553
Mouse_Brain_E18_S1,1187,0.37822473731006884,0.5748813458607382,0.5671875875306732,0.6122654475054878,0.5748813458607385,0.16532987
Mouse_Brain_E18_S1,42,0.42782818708185255,0.5881435214648745,0.5807178134417105,0.6344442179135958,0.5881435214648744,0.15892705
Mouse_Brain_E18_S1,3999,0.3798128687531503,0.569313476091767,0.5615586690846681,0.6170802745871091,0.5693134760917669,0.16021635
