dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
10x_human_lymph_node_D1,641,0.17199992346245013,0.32043468761087185,0.31495698642419223,0.37532259845478055,0.32043468761087185,0.092058696
10x_human_lymph_node_D1,1892,0.21433098055191163,0.35285191746719474,0.3475001858936865,0.4012353955759208,0.35285191746719474,0.083728135
10x_human_lymph_node_D1,1173,0.1334415562021627,0.3069831331019282,0.3013988206295271,0.3605497490476712,0.30698313310192826,0.11434476
10x_human_lymph_node_D1,69,0.16235720229879522,0.3319733777876216,0.3264709703349055,0.38055628593410523,0.3319733777876216,0.09607516
10x_human_lymph_node_D1,2024,0.18320780760873082,0.34771909019017067,0.3424446412139911,0.4062289604463929,0.3477190901901707,0.11226184
10x_human_lymph_node_D1,231,0.178482437182634,0.3345734091574506,0.32909504243902526,0.38392223775741574,0.33457340915745065,0.10977857
10x_human_lymph_node_D1,1971,0.1607316858648759,0.3286516559659711,0.3232014828265844,0.3824023724368615,0.3286516559659711,0.08372725
10x_human_lymph_node_D1,2497,0.17415131600653794,0.33252527188374265,0.327185162298636,0.39283472182388696,0.33252527188374276,0.111541286
10x_human_lymph_node_D1,338,0.18047515386347898,0.34827096774747485,0.3429566546045752,0.4045659874860415,0.34827096774747485,0.12153666
10x_human_lymph_node_D1,3127,0.18144085470960658,0.34138883047426477,0.3360638979703937,0.3985674665929288,0.3413888304742648,0.0743186
10x_human_lymph_node_D1,2001,0.17837909708579777,0.34460630844059364,0.33921086901891023,0.39361953494142093,0.3446063084405937,0.12306651
10x_human_lymph_node_D1,2022,0.1614021140565878,0.3432179851771931,0.33796213337811937,0.4054483850681167,0.34321798517719304,0.091590784
10x_human_lymph_node_D1,574,0.17473392356989773,0.3410473263907245,0.33568284178322433,0.395572038996099,0.34104732639072455,0.08633882
10x_human_lymph_node_D1,2428,0.17484360075501063,0.33974690711789934,0.33444013497022124,0.39925535110069943,0.33974690711789934,0.08482318
10x_human_lymph_node_D1,999,0.17688684946355748,0.33708603906422313,0.33168301609057715,0.3884574848423395,0.33708603906422313,0.08767341
10x_human_lymph_node_D1,1187,0.1863666648892063,0.3385456409566326,0.33319815527744673,0.393617330917747,0.33854564095663264,0.10775323
10x_human_lymph_node_D1,42,0.14724168529527576,0.3175044712167559,0.31199238555516534,0.3715533035667004,0.3175044712167559,0.10883873
10x_human_lymph_node_D1,3999,0.18880895498843553,0.34381686316848803,0.33838887727502265,0.39076130056602215,0.34381686316848803,0.105659515
Mouse_Brain_E11_S1,13,0.43523538106505943,0.4963921695075283,0.49050432820913653,0.5595222487484508,0.4963921695075283,0.16891003
Mouse_Brain_E11_S1,2560,0.42398734689204676,0.5184788875877019,0.5127782228697352,0.5733014661256942,0.518478887587702,0.176847
Mouse_Brain_E11_S1,641,0.4209044461025985,0.5449479938639734,0.539635017815987,0.6146234259325707,0.5449479938639734,0.1862029
